,world,sector_id,note_name,note_start_km,note_end_km,note_type,note_description,Unnamed: 7,Unnamed: 8,"* start and end is distance from sector start landmark, distances are according to video/in-game distance display",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
43,Watopia,WA007R,Woodland Sprint,"3,370","3,870",sprint,"Downhill first 300m, flat sand finish",,,,,,,,,,,,,,,,,,,,
44,Watopia,WA007R,Woodland climb,"3,970","4,370",,3-4%,,,,,,,,,,,,,,,,,,,,
45,Watopia,WA007R,Sasquatch Sprint,"8,310","8,650",sprint,Flat into 2% 200m climb finish,,,,,,,,,,,,,,,,,,,,
46,Watopia,WA008F,Desert to Titans,"0,145","0,625",,2-3% rise,,,,,,,,,,,,,,,,,,,,
47,Watopia,WA009F,Downhill from Titans,"0,055","1,065",,"2-4% drop, steepest early",,,,,,,,,,,,,,,,,,,,
48,Watopia,WA009R,Climb toward Titans,"0,230","1,030",,1-3% climb,,,,,,,,,,,,,,,,,,,,
49,Watopia,WA009R,Climb toward Titans,"1,030","1,230",,3-5% climb,,,,,,,,,,,,,,,,,,,,
50,Watopia,WA010F,Epic lower slopes,"0,000","0,460",,6-8%,,,,,,,,,,,,,,,,,,,,
51,Watopia,WA010F,Epic lower slopes,"0,460","0,650",,8-10%,,,,,,,,,,,,,,,,,,,,
52,Watopia,WA010F,Epic lower slopes,"0,690","1,700",,Bridge at 3%,,,,,,,,,,,,,,,,,,,,
53,Watopia,WA010F,Epic lower slopes,"1,700","1,880",,Exit bridge rising up to 8%,,,,,,,,,,,,,,,,,,,,
54,Watopia,WA010R,Epic lower slopes,"0,000","1,150",,3% descent,,,,,,,,,,,,,,,,,,,,
55,Watopia,WA010R,Epic lower slopes,"1,200","1,830",,Steep descent,,,,,,,,,,,,,,,,,,,,
56,Watopia,WA011F,Epic mid-section,"0,120","2,000",,5-8%,,,,,,,,,,,,,,,,,,,,
57,Watopia,WA011F,Epic mid-section,"2,040","2,320",,Flat,,,,,,,,,,,,,,,,,,,,
58,Watopia,WA011F,Epic mid-section,"2,370","2,570",,6% rise,,,,,,,,,,,,,,,,,,,,
59,Watopia,WA011F,Epic mid-section,"2,880","3,710",,4-5% rise,,,,,,,,,,,,,,,,,,,,
60,Watopia,WA011F,Epic mid-section,"3,740","4,400",,6-7% rise,,,,,,,,,,,,,,,,,,,,
61,Watopia,WA011R,Epic mid-section,"0,000","2,050",,Constant descent,,,,,,,,,,,,,,,,,,,,
62,Watopia,WA011R,Epic mid-section,"2,050","2,370",,Flat section,,,,,,,,,,,,,,,,,,,,
63,Watopia,WA011R,Epic mid-section,"2,450","4,400",,Constant descent,,,,,,,,,,,,,,,,,,,,
64,Watopia,WA026F,Volcano exit,"0,435","0,505",,Bump here often causes gaps,,,,,,,,,,,,,,,,,,,,
65,Watopia,WA027R,Volcano entry,"0,000","0,205",,Climb increases to 6%,,,,,,,,,,,,,,,,,,,,
66,Watopia,WA027R,Volcano rise,"0,540","0,740",,3-4% to banner,,,,,,,,,,,,,,,,,,,,
67,Watopia,WA029R,Hairpin descent,"0,000","0,150",,Sharp hairpin descent,,,,,,,,,,,,,,,,,,,,
68,Watopia,WA030F,Sorpresa climb,"0,190","0,550",,"Steepest around second bend, flatter top",,,,,,,,,,,,,,,,,,,,
69,Watopia,WA031F,Watopia Sprint,"0,000","0,370",sprint,Flat,,,,,,,,,,,,,,,,,,,,
70,Watopia,WA033R,Boulevard descent,"0,000","1,470",,Slight descent to boardwalk,,,,,,,,,,,,,,,,,,,,
71,Watopia,WA042F,Mayfield rise,"0,070","0,270",,2-3% rise,,,,,,,,,,,,,,,,,,,,
72,Watopia,WA043F,360 climb,"0,060","0,240",,3% climb,,,,,,,,,,,,,,,,,,,,
73,Watopia,WA044F,Downtown rise,"0,350","0,850",,2-4% rise,,,,,,,,,,,,,,,,,,,,
74,Watopia,WA045R,Tunnel entrance,"0,000","0,230",,Short steep descent,,,,,,,,,,,,,,,,,,,,
75,Watopia,WA046F,Tunnel exit,"1,277","1,497",,Short 3-4% climb,,,,,,,,,,,,,,,,,,,,
76,Watopia,WA019F,Fuego Flats Sprint,"0,000","0,500",sprint,"Flat 500m sprint, finish at arch",,,,,,,,,,,,,,,,,,,,
77,Watopia,WA019F,Oasis,"3,255","3,525",,1-2% incline,,,,,,,,,,,,,,,,,,,,
78,Watopia,WA047R,Tunnels entrance,"0,070","0,265",,Short steep descent,,,,,,,,,,,,,,,,,,,,
79,Watopia,WA012F,Epic KOM rolling upper slopes,"0,182","0,542",,2-3% rise into 6-8% into steep drop,,,,,,,,,,,,,,,,,,,,
80,Watopia,WA012F,Epic KOM rolling upper slopes,"0,672","0,752",,10-12% rise into steep drop,,,,,,,,,,,,,,,,,,,,
81,Watopia,WA012F,Epic KOM rolling upper slopes,"0,812","1,182",,6-7% climb into flatter finish,,,,,,,,,,,,,,,,,,,,
82,Watopia,WA012F,Epic KOM rolling upper slopes,"1,382","1,762",,Steep descent,,,,,,,,,,,,,,,,,,,,
83,Watopia,WA012F,Epic KOM finale,"1,762","2,742",,"Final climb of KOM, 1km @ 6-7%",,,,,,,,,,,,,,,,,,,,
84,Watopia,WA015F,Epic KOM,"0,000","9,410",climb,Epic KOM,,,,,,,,,,,,,,,,,,,,
85,Makuri Islands,MI001F,Alley Sprint,"0,695","1,115",sprint,Long flat sprint,,,,,,,,,,,,,,,,,,,,
86,Makuri Islands,MI001F,Rise after alley,"1,340","1,650",,2% rise,,,,,,,,,,,,,,,,,,,,
87,Makuri Islands,MI001F,Towards city,"2,100","2,400",,"2-3% into 5% downhill, watch for gaps",,,,,,,,,,,,,,,,,,,,
88,Makuri Islands,MI002F,Urukazi entry,"6,885","9,470",,Dirt roads,,,,,,,,,,,,,,,,,,,,
89,Makuri Islands,MI002F,Urukazi entry,"8,100","8,200",,3-4% rise,,,,,,,,,,,,,,,,,,,,
90,Makuri Islands,MI002F,Descent into islands,"8,400","11,000",,Rolling descent,,,,,,,,,,,,,,,,,,,,
91,Makuri Islands,MI003F,Mech Isle rollers,"11,890","12,095",,3-5% rise,,,,,,,,,,,,,,,,,,,,
92,Makuri Islands,MI004F,Mech Isle rollers,"12,720","12,850",,4-5% rise,,,,,,,,,,,,,,,,,,,,
93,Makuri Islands,MI004F,Mech Isle rollers,"13,500","13,600",,2-3%,,,,,,,,,,,,,,,,,,,,
94,Makuri Islands,MI005F,Shisa climb,"14,620","15,640",,3-5% climb on dirt,,,,,,,,,,,,,,,,,,,,
95,Makuri Islands,MI005F,Shisa climb,"15,750","16,130",,3-6% on asphalt,,,,,,,,,,,,,,,,,,,,
96,Makuri Islands,MI005F,Shisa Sprint,"16,378","16,670",sprint,Flat,,,,,,,,,,,,,,,,,,,,
97,Makuri Islands,MI005F,Shisa descent,"16,820","17,080",,Last chance to grab a wheel!,,,,,,,,,,,,,,,,,,,,
98,Makuri Islands,MI005F,Shisa descent,"17,080","17,870",,Steep downhill,,,,,,,,,,,,,,,,,,,,
99,Makuri Islands,MI005F,Shisa descent,"18,250","18,320",,Slight bump - chance to chase,,,,,,,,,,,,,,,,,,,,
100,Makuri Islands,MI005F,Shisa descent,"18,320","18,600",,Downhill,,,,,,,,,,,,,,,,,,,,
101,Makuri Islands,MI006F,Leaving Urukazi,"19,884","20,200",,4-6% rise,,,,,,,,,,,,,,,,,,,,
102,Makuri Islands,MI006F,Leaving Urukazi,"20,350","20,720",,Downhill - close gaps,,,,,,,,,,,,,,,,,,,,
103,Makuri Islands,MI007F,Climb to Neokyo,"21,380","21,490",,Initial bump,,,,,,,,,,,,,,,,,,,,
104,Makuri Islands,MI007F,Climb to Neokyo,"21,620","22,280",,Mostly 4-6% slightly rolling,,,,,,,,,,,,,,,,,,,,
105,Makuri Islands,MI007F,Climb to Neokyo,"22,450","23,200",,"4-6%, worst in corkscrew section",,,,,,,,,,,,,,,,,,,,
106,Makuri Islands,MI007F,Climb to Neokyo,"23,280","23,380",,4-5% bump,,,,,,,,,,,,,,,,,,,,
107,Makuri Islands,MI007F,Climb to Neokyo,"23,600","23,750",,Final double rises of 4-5%,,,,,,,,,,,,,,,,,,,,
