,route,world,lead,free_start,total,circuit,complete_notes,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
53,Flatland Loop,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
54,Island Hopper,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
55,Island Outskirts,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
56,Kappa Quest Reverse,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
57,Kappa Quest,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
58,Makuri 40,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
59,Makuri Pretzel,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
60,Mech Isle Loop,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
61,Neokyo All-Nighter,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
62,Neokyo Crit Course,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
63,Neon Flats,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
64,Railways and Rooftops,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
65,Rooftop Rendezvous,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
66,Sea to Tree,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
67,Shisa Shakedown,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
68,Sleepless City,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
69,Spirit Forest,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
70,Sprinter's Playground,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
71,Suki's Playground,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
72,Temples and Towers,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
73,Three Village Loop,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
74,Turf N Surf,Makuri Islands,"0,700",,"24,700",True,True,,,,,,,,,,,,,,,,,,
75,Twilight Harbor,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
76,Two Village Loop,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
77,Valley to Mountaintop,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
78,Wandering Flats,Makuri Islands,,,,,,,,,,,,,,,,,,,,,,,
79,2022 Cycling Esports World Championships Route,New York,,,,,,,,,,,,,,,,,,,,,,,
80,Astoria Line 8,New York,,,,,,,,,,,,,,,,,,,,,,,
81,Couch to Sky K,New York,,,,,,,,,,,,,,,,,,,,,,,
82,Everything Bagel,New York,,,,,,,,,,,,,,,,,,,,,,,
83,Flat Irons,New York,,,,,,,,,,,,,,,,,,,,,,,
84,Gotham Grind Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
85,Gotham Grind,New York,,,,,,,,,,,,,,,,,,,,,,,
86,Grand Central Circuit Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
87,Grand Central Circuit,New York,,,,,,,,,,,,,,,,,,,,,,,
88,Hudson Roll,New York,,,,,,,,,,,,,,,,,,,,,,,
89,Knickerbocker Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
90,Knickerbocker,New York,,,,,,,,,,,,,,,,,,,,,,,
91,Lady Liberty,New York,,,,,,,,,,,,,,,,,,,,,,,
92,LaGuardia Loop Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
93,LaGuardia Loop,New York,,,,,,,,,,,,,,,,,,,,,,,
94,Mighty Metropolitan,New York,,,,,,,,,,,,,,,,,,,,,,,
95,NYC KOM After Party,New York,,,,,,,,,,,,,,,,,,,,,,,
96,Park Perimeter Loop,New York,,,,,,,,,,,,,,,,,,,,,,,
97,Park Perimeter Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
98,Park to Peak,New York,,,,,,,,,,,,,,,,,,,,,,,
99,Rising Empire,New York,,,,,,,,,,,,,,,,,,,,,,,
100,Shuman Trail Loop Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
101,Shuman Trail Loop,New York,,,,,,,,,,,,,,,,,,,,,,,
102,The 6 Train Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
103,The 6 Train,New York,,,,,,,,,,,,,,,,,,,,,,,
104,The Highline Reverse,New York,,,,,,,,,,,,,,,,,,,,,,,
105,The Highline,New York,,,,,,,,,,,,,,,,,,,,,,,
106,Champs-Élysées,Paris,,,,,,,,,,,,,,,,,,,,,,,
107,Lutece Express,Paris,,,,,,,,,,,,,,,,,,,,,,,
108,Cobbled Climbs Reverse,Richmond,,,,,,,,,,,,,,,,,,,,,,,
109,Cobbled Climbs,Richmond,,,,,,,,,,,,,,,,,,,,,,,
110,Libby Hill After Party,Richmond,,,,,,,,,,,,,,,,,,,,,,,
111,Richmond UCI Reverse,Richmond,,,,,,,,,,,,,,,,,,,,,,,
112,Richmond Loop Around,Richmond,,,,,,,,,,,,,,,,,,,,,,,
113,Richmond Rollercoaster,Richmond,,,,,,,,,,,,,,,,,,,,,,,
114,Richmond UCI Worlds,Richmond,,,,,,,,,,,,,,,,,,,,,,,
115,The Fan Flats,Richmond,,,,,,,,,,,,,,,,,,,,,,,
116,BRAEk-fast Crits and Grits,Scotland,,,,,,,,,,,,,,,,,,,,,,,
117,City and the Sgurr,Scotland,,,,,,,,,,,,,,,,,,,,,,,
118,Glasgow Crit Circuit,Scotland,,,,,,,,,,,,,,,,,,,,,,,
119,Glasgow Reverse,Scotland,,,,,,,,,,,,,,,,,,,,,,,
120,Loch Loop,Scotland,,,,,,,,,,,,,,,,,,,,,,,
121,Rolling Highlands,Scotland,,,,,,,,,,,,,,,,,,,,,,,
122,The Muckle Yin,Scotland,,,,,,,,,,,,,,,,,,,,,,,
123,11.1 Ocean Blvd,Watopia,,,,,,,,,,,,,,,,,,,,,,,
124,5K Loop,Watopia,,,,,,,,,,,,,,,,,,,,,,,
125,Accelerate to Elevate,Watopia,,,,,,,,,,,,,,,,,,,,,,,
126,Bambino Fondo,Watopia,,,,,,,,,,,,,,,,,,,,,,,
127,Beach Island Loop,Watopia,"0,175",,"12,935",True,True,,,,,,,,,,,,,,,,,,
128,Big Flat 8,Watopia,,,,,,,,,,,,,,,,,,,,,,,
129,Big Foot Hills,Watopia,,,,,,,,,,,,,,,,,,,,,,,
130,Big Loop Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
131,Big Loop,Watopia,,,,,,,,,,,,,,,,,,,,,,,
132,Bigger Loop,Watopia,,,,,,,,,,,,,,,,,,,,,,,
133,Canopies and Coastlines,Watopia,,,,,,,,,,,,,,,,,,,,,,,
134,Chili Pepper Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
135,Chili Pepper,Watopia,,,,,,,,,,,,,,,,,,,,,,,
136,Climber's Gambit,Watopia,,,,,,,,,,,,,,,,,,,,,,,
137,Coast Crusher,Watopia,,,,,,,,,,,,,,,,,,,,,,,
138,Coastal Crown Loop,Watopia,"8,570",,"23,590",True,True,,,,,,,,,,,,,,,,,,
139,Downtown Titans,Watopia,,,,,,,,,,,,,,,,,,,,,,,
140,Dust In the Wind,Watopia,,,,,,,,,,,,,,,,,,,,,,,
141,Eastern Eight,Watopia,,,,,,,,,,,,,,,,,,,,,,,
142,Elevation Evaluation,Watopia,"2,930",,"27,440",True,True,,,,,,,,,,,,,,,,,,
143,Epic Run,Watopia,,,,,,,,,,,,,,,,,,,,,,,
144,Figure 8 Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
145,Figure 8,Watopia,,,,,,,,,,,,,,,,,,,,,,,
146,Flat Route Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
147,Flat Route,Watopia,,,,,,,,,,,,,,,,,,,,,,,
148,Four Horsemen,Watopia,,,,,,,,,,,,,,,,,,,,,,,
149,Glyph Heights,Watopia,,,,,,,,,,,,,,,,,,,,,,,
150,Going Coastal,Watopia,,,,,,,,,,,,,,,,,,,,,,,
151,Gran Fondo,Watopia,,,,,,,,,,,,,,,,,,,,,,,
152,Handful of Gravel,Watopia,,,,,,,,,,,,,,,,,,,,,,,
153,Hilly Route Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
154,Hilly Route,Watopia,,,,,,,,,,,,,,,,,,,,,,,
155,Italian Villas Circuit,Watopia,,,,,,,,,,,,,,,,,,,,,,,
156,Itza Climb Finish,Watopia,,,,,,,,,,,,,,,,,,,,,,,
157,Itza Party,Watopia,,,,,,,,,,,,,,,,,,,,,,,
158,Jon's Route,Watopia,,,,,,,,,,,,,,,,,,,,,,,
159,Jungle Circuit Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
160,Jungle Circuit,Watopia,,,,,,,,,,,,,,,,,,,,,,,
161,Jurassic Coast,Watopia,,,,,,,,,,,,,,,,,,,,,,,
162,Legends and Lava,Watopia,,,,,,,,,,,,,,,,,,,,,,,
163,Loop de Loop,Watopia,,,,,,,,,,,,,,,,,,,,,,,
164,May Field,Watopia,,,,,,,,,,,,,,,,,,,,,,,
165,Mayan 8,Watopia,,,,,,,,,,,,,,,,,,,,,,,
166,Mayan Bridge Loop,Watopia,,,,,,,,,,,,,,,,,,,,,,,
167,Mayan Mash,Watopia,,,,,,,,,,,,,,,,,,,,,,,
168,Mayan San Remo,Watopia,,,,,,,,,,,,,,,,,,,,,,,
169,Medio Fondo,Watopia,,,,,,,,,,,,,,,,,,,,,,,
170,Mountain 8,Watopia,,,,,,,,,,,,,,,,,,,,,,,
171,Mountain Mash,Watopia,,,,,,,,,,,,,,,,,,,,,,,
172,Mountain Route,Watopia,"0,680",,"29,615",False,False,,,,,,,,,,,,,,,,,,
173,Muir and the Mountain,Watopia,,,,,,,,,,,,,,,,,,,,,,,
174,Navig8,Watopia,,,,,,,,,,,,,,,,,,,,,,,
175,Ocean Lava Cliffside Loop,Watopia,,,,,,,,,,,,,,,,,,,,,,,
176,Oh Hill No,Watopia,"0,210",,"8,005",True,True,,,,,,,,,,,,,,,,,,
177,Out and Back Again,Watopia,,,,,,,,,,,,,,,,,,,,,,,
178,Peak Performance,Watopia,,,,,,,,,,,,,,,,,,,,,,,
179,Power to the Tower,Watopia,,,,,,,,,,,,,,,,,,,,,,,
180,Quatch Quest,Watopia,,,,,,,,,,,,,,,,,,,,,,,
181,Radio Rendezvous,Watopia,,,,,,,,,,,,,,,,,,,,,,,
182,Repack Rush,Watopia,,,,,,,,,,,,,,,,,,,,,,,
183,Road to Ruins Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
184,Road to Ruins,Watopia,,,,,,,,,,,,,,,,,,,,,,,
185,Road to Sky,Watopia,,,,,,,,,,,,,,,,,,,,,,,
186,Run Path Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
187,Sand and Sequoias,Watopia,,,,,,,,,,,,,,,,,,,,,,,
188,Seaside Sprint,Watopia,,,,,,,,,,,,,,,,,,,,,,,
189,Serpentine 8,Watopia,,,,,,,,,,,,,,,,,,,,,,,
190,Shorelines and Summits,Watopia,,,,,,,,,,,,,,,,,,,,,,,
191,Snowman,Watopia,,,,,,,,,,,,,,,,,,,,,,,
192,Spiral Into the Volcano,Watopia,,,,,,,,,,,,,,,,,,,,,,,
193,Splash and Dash,Watopia,,,,,,,,,,,,,,,,,,,,,,,
194,Sugar Cookie,Watopia,,,,,,,,,,,,,,,,,,,,,,,
195,Surfin' Safari,Watopia,,,,,,,,,,,,,,,,,,,,,,,
196,Temple Trek,Watopia,,,,,,,,,,,,,,,,,,,,,,,
197,Tempus Fugit,Watopia,,,,,,,,,,,,,,,,,,,,,,,
198,That's Amore Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
199,That's Amore,Watopia,,,,,,,,,,,,,,,,,,,,,,,
200,The Big Ring,Watopia,,,,,,,,,,,,,,,,,,,,,,,
201,The Magnificent 8,Watopia,,,,,,,,,,,,,,,,,,,,,,,
202,The Mega Pretzel,Watopia,,,,,,,,,,,,,,,,,,,,,,,
203,The Pretzel,Watopia,,,,,,,,,,,,,,,,,,,,,,,
204,The Über Pretzel,Watopia,,,,,,,,,,,,,,,,,,,,,,,
205,Three Little Sisters,Watopia,,,,,,,,,,,,,,,,,,,,,,,
206,Three Sisters Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
207,Three Sisters,Watopia,,,,,,,,,,,,,,,,,,,,,,,
208,Tick Tock,Watopia,"2,295",,"19,190",True,True,,,,,,,,,,,,,,,,,,
209,Tides and Temples,Watopia,"2,660",,"38,900",True,True,,,,,,,,,,,,,,,,,,
210,Titans Run,Watopia,,,,,,,,,,,,,,,,,,,,,,,
211,Tour of Fire and Ice,Watopia,,,,,,,,,,,,,,,,,,,,,,,
212,Triple Flat Loops,Watopia,,,,,,,,,,,,,,,,,,,,,,,
213,Two Bridges Loop,Watopia,,,,,,,,,,,,,,,,,,,,,,,
214,Volcano Circuit CCW,Watopia,"4,835",,"8,955",True,True,,,,,,,,,,,,,,,,,,
215,Volcano Circuit,Watopia,,,,,,,,,,,,,,,,,,,,,,,
216,Volcano Climb After Party,Watopia,,,,,,,,,,,,,,,,,,,,,,,
217,Volcano Climb,Watopia,,,,,,,,,,,,,,,,,,,,,,,
218,Volcano Flat Reverse,Watopia,,,,,,,,,,,,,,,,,,,,,,,
219,Volcano Flat,Watopia,,,,,,,,,,,,,,,,,,,,,,,
220,Watopia's Waistband,Watopia,,,,,,,,,,,,,,,,,,,,,,,
221,WBR Climbing Series,Watopia,,,,,,,,,,,,,,,,,,,,,,,
222,Whole Lotta Lava,Watopia,,,,,,,,,,,,,,,,,,,,,,,
223,Zwift Bambino Fondo 2022,Watopia,,,,,,,,,,,,,,,,,,,,,,,
224,Zwift Games 2024 Epic,Watopia,,,,,,,,,,,,,,,,,,,,,,,
225,Zwift Gran Fondo 2022,Watopia,,,,,,,,,,,,,,,,,,,,,,,
226,Zwift Medio Fondo 2022,Watopia,,,,,,,,,,,,,,,,,,,,,,,
227,2019 UCI Worlds Harrogate Circuit,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
228,Duchy Estate,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
229,Harrogate Circuit Reverse,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
230,Queen's Highway After Party,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
231,Queen's Highway,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
232,Royal Pump Room 8,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
233,Tour of Tewit Well,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
234,Yorkshire Double Loops,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
